unitCode,aqfId,outcomeId
CITS1001,AQF1,3
CITS1001,AQF1,4
CITS1001,AQF1,5
CITS1001,AQF2,1
CITS1001,AQF2,3
CITS1001,AQF2,6
CITS1001,AQF4,2
CITS1001,AQF4,3
CITS1001,AQF4,4
CITS1001,AQF5,3
CITS1001,AQF5,4
CITS1001,AQF5,6
CITS1001,AQF6,4
CITS1001,AQF6,6
CITS1001,AQF7,5
CITS1001,AQF10,3
CITS1001,AQF10,5
CITS1003,AQF1,2
CITS1003,AQF2,1
CITS1003,AQF2,2
CITS1003,AQF3,3
CITS1003,AQF6,2
CITS1003,AQF6,3
CITS1003,AQF9,1
CITS1003,AQF9,2
CITS1401,AQF1,1
CITS1401,AQF1,2
CITS1401,AQF1,3
CITS1401,AQF1,4
CITS1401,AQF2,3
CITS1401,AQF2,4
CITS1401,AQF4,2
CITS1401,AQF5,1
CITS1401,AQF5,3
CITS1401,AQF5,4
CITS1402,AQF1,4
CITS1402,AQF1,5
CITS1402,AQF2,1
CITS1402,AQF2,2
CITS1402,AQF4,4
CITS1402,AQF6,5
CITS1402,AQF9,1
CITS1402,AQF10,1
CITS4401,AQF1,1
CITS4401,AQF1,4
CITS4401,AQF1,6
CITS4401,AQF2,1
CITS4401,AQF2,4
CITS4401,AQF2,5
CITS4401,AQF2,6
CITS4401,AQF3,2
CITS4401,AQF3,5
CITS4401,AQF5,3
CITS4401,AQF5,5
CITS4401,AQF6,1
CITS4401,AQF6,5
CITS4401,AQF7,2
CITS4401,AQF8,5
CITS4401,AQF8,6
CITS4401,AQF9,4
CITS4401,AQF9,6
CITS4401,AQF10,2
CITS4401,AQF10,4
CITS4401,AQF10,6
CITS4407,AQF1,1
CITS4407,AQF1,2
CITS4407,AQF4,3
CITS4407,AQF7,3
CITS4407,AQF9,1
CITS4407,AQF10,2
CITS4407,AQF10,3
CITS5206,AQF1,1
CITS5206,AQF2,1
CITS5206,AQF3,3
CITS5206,AQF3,4
CITS5206,AQF5,1
CITS5206,AQF6,5
CITS5206,AQF7,5
CITS5206,AQF8,2
CITS5206,AQF10,1
CITS5501,AQF1,2
CITS5501,AQF1,4
CITS5501,AQF2,3
CITS5501,AQF2,5
CITS5501,AQF2,6
CITS5501,AQF5,2
CITS5501,AQF5,6
CITS5501,AQF6,1
CITS5501,AQF7,4
CITS5501,AQF7,5
CITS5501,AQF10,5
CITS5503,AQF1,1
CITS5503,AQF1,3
CITS5503,AQF4,2
CITS5503,AQF5,1
CITS5503,AQF6,5
CITS5503,AQF7,6
CITS5503,AQF9,4
CITS5505,AQF1,1
CITS5505,AQF1,2
CITS5505,AQF2,1
CITS5505,AQF4,4
CITS5505,AQF6,3
CITS5505,AQF7,5
CITS5505,AQF9,2
CITS5506,AQF1,2
CITS5506,AQF1,3
CITS5506,AQF2,1
CITS5506,AQF4,2
CITS5506,AQF4,3
CITS5506,AQF5,2
CITS5506,AQF5,3
CITS5506,AQF6,1
CITS5506,AQF6,2
CITS5506,AQF6,3
CITS5506,AQF7,2
CITS5506,AQF7,3
CITS5506,AQF8,2
CITS5506,AQF8,3
CITS5506,AQF9,1
CITS5506,AQF10,2
CITS5506,AQF10,3
GENG5505,AQF1,1
GENG5505,AQF1,2
GENG5505,AQF3,7
GENG5505,AQF6,5
GENG5505,AQF6,6
GENG5505,AQF7,1
GENG5505,AQF7,2
GENG5505,AQF7,3
GENG5505,AQF7,4
GENG5505,AQF9,3
GENG5505,AQF10,1
GENG5505,AQF10,2
CITS4009,AQF1,1
CITS4009,AQF6,4
CITS4009,AQF6,5
CITS4009,AQF10,1
CITS4009,AQF10,2
CITS4009,AQF10,3
CITS4403,AQF1,4
CITS4403,AQF2,2
CITS4403,AQF2,3
CITS4403,AQF5,2
CITS4403,AQF6,1
CITS5504,AQF1,1
CITS5504,AQF1,3
CITS5504,AQF10,3
CITS5507,AQF2,1
CITS5507,AQF2,2
CITS5507,AQF5,1
CITS5507,AQF9,1
ENVT4411,AQF1,1
ENVT4411,AQF5,2
ENVT4411,AQF6,4
ENVT4411,AQF9,5
ENVT4411,AQF10,3
ENVT4411,AQF10,5
GENG5508,AQF1,4
GENG5508,AQF4,2
GENG5508,AQF10,5
MGMT5504,AQF5,6
MGMT5504,AQF6,5
MGMT5504,AQF9,1
