unitCode,courseCode
CITS4009,62510
CITS4009,62550
CITS4009,62560
CITS4401,62510
CITS4401,62550
CITS4403,62510
CITS4403,62530
CITS4403,62550
CITS4404,62510
CITS4404,62530
CITS4404,62550
CITS4407,62510
CITS4407,62530
CITS4407,42630
CITS5206,62510
CITS5501,62510
CITS5501,62550
CITS5501,BH008
CITS5503,62510
CITS5503,62530
CITS5503,62550
CITS5503,42630
CITS5503,BH008
CITS5504,62510
CITS5504,62530
CITS5504,42630
CITS5505,62510
CITS5505,62530
CITS5507,62510
CITS5507,62530
CITS5507,62550
CITS5508,BH008
CITS5508,62510
CITS5508,62530
CITS5508,62550
CITS5508,42630
GENG5505,62510
GENG5505,62550
GENG5505,62520
GENG5505,62540
GENG5505,62560
GENG5505,62530
GENG5507,62550
GENG5507,62510
GENG5507,62520
GENG5507,62560
GENG5507,62540
GENG5508,62510
GENG5508,62550
